Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDV36,12.811605053556818,Low Fat,0.027021786309712647,Baking Goods,127.6472436207549,OUT027,1985.028433420774,Medium,Tier 3,Supermarket Type3,3415.554
NCC07,19.617222719908973,Low Fat,0.023798345195363304,Household,102.65096400487302,OUT013,1986.9472393307633,High,Tier 3,Supermarket Type1,736.3748
FDH35,18.302771992180187,Low Fat,0.06082728047299967,Starchy Foods,165.8610667509671,OUT049,1998.9781006268352,Medium,Tier 1,Supermarket Type1,1644.526
NCU53,5.482000947763751,Low Fat,0.04341478025864508,Health and Hygiene,163.2498667098197,OUT045,2001.8560336803107,Medium,Tier 2,Supermarket Type1,1657.842
NCK07,10.644531112690125,Low Fat,0.04901897268578736,Others,165.9076052079636,OUT017,2006.9341169637587,Medium,Tier 2,Supermarket Type1,3946.8624
FDV51,16.320122840477953,Low Fat,0.033277656745327545,Meat,166.57147251143562,OUT017,2007.0786998921476,Medium,Tier 2,Supermarket Type1,1823.6262
FDO04,12.793027890997505,Low Fat,0.02586622647274598,Frozen Foods,53.45037862619031,OUT027,1984.933093747618,Medium,Tier 3,Supermarket Type3,607.8754
FDG22,17.555411212707693,Regular,0.04124338523691635,Snack Foods,37.124653143846665,OUT017,2006.9143194204423,Medium,Tier 2,Supermarket Type1,366.19
FDO32,12.81444254361623,Low Fat,0.1207470272862803,Fruits and Vegetables,45.65364108824522,OUT027,1985.0096757442518,Medium,Tier 3,Supermarket Type3,885.514
FDO50,16.20863546510695,Low Fat,0.053361700017163755,Canned,89.76719530951264,OUT017,2007.008128276478,Medium,Tier 2,Supermarket Type1,1102.5648
NCW41,18.02760935113994,Low Fat,0.05356563952022337,Health and Hygiene,157.22305661920683,OUT049,1998.9959446059167,Medium,Tier 1,Supermarket Type1,3327.6684
FDB52,17.727499481583752,Low Fat,0.030082225086009943,Dairy,256.07554874495054,OUT013,1987.1001163566443,High,Tier 3,Supermarket Type1,2045.3376
FDD17,7.47230948003635,Low Fat,0.03239165410384069,Frozen Foods,236.51224632289583,OUT046,1997.0616457717094,Small,Tier 1,Supermarket Type1,6893.0274
FDI45,13.130153662591502,Low Fat,0.037313831411641886,Fruits and Vegetables,176.4459454155523,OUT013,1986.9209966570156,High,Tier 3,Supermarket Type1,4027.4242
FDU34,18.28448521638947,Low Fat,0.07648336089518015,Snack Foods,123.40626842175313,OUT018,2009.0453989864288,Medium,Tier 3,Supermarket Type2,249.0092
FDN58,13.762910605817762,Regular,0.056830568299109284,Snack Foods,232.93971867914547,OUT018,2008.97552286355,Medium,Tier 3,Supermarket Type2,1390.1904
FDN10,11.405472770319076,Low Fat,0.04663055080167395,Snack Foods,119.79323934137706,OUT017,2007.123240745407,Medium,Tier 2,Supermarket Type1,1540.6612
FDF28,12.850041043398111,Regular,0.03805152037408312,Frozen Foods,125.05206930620369,OUT027,1984.803905700103,Medium,Tier 3,Supermarket Type3,3859.6426
FDR07,12.92278780588693,Low Fat,0.07770127866735661,Fruits and Vegetables,98.1751843121177,OUT027,1984.9616031882636,Medium,Tier 3,Supermarket Type3,1808.9786
FDC14,14.525212706843853,Regular,0.06822649329526782,Canned,42.45009041212204,OUT010,1997.946513126031,Medium,Tier 3,Grocery Store,41.9454
FDO34,17.700208102245504,Low Fat,0.05033389453587122,Snack Foods,166.58166616997232,OUT010,1997.9656579780271,Medium,Tier 3,Grocery Store,167.7816
NCN54,20.318902370018666,Low Fat,0.02080987717893387,Household,76.05612116276968,OUT046,1996.913124870584,Small,Tier 1,Supermarket Type1,772.328
FDZ25,12.894307519101401,Regular,0.028054050787966058,Canned,168.2799387838285,OUT027,1985.0421528450984,Medium,Tier 3,Supermarket Type3,5602.707
NCY18,7.2781617900213735,Low Fat,0.031018474310230575,Household,175.0016774396806,OUT018,2009.0026693764212,Medium,Tier 3,Supermarket Type2,2626.581
FDO50,16.283927710100034,Low Fat,0.07844925796267169,Canned,91.98425725357801,OUT046,1996.7530967436562,Small,Tier 1,Supermarket Type1,1653.8472
DRJ39,20.146287364880497,Low Fat,0.03717859917724274,Dairy,220.48194220020096,OUT046,1997.0421196818543,Small,Tier 1,Supermarket Type1,3066.6748
DRA24,19.313434664714798,Regular,0.04026646446311132,Soft Drinks,164.56218829189223,OUT049,1999.0949971572547,Medium,Tier 1,Supermarket Type1,982.7208
FDT24,12.304386544090777,Regular,0.053997321277918085,Baking Goods,76.51828254917169,OUT046,1997.065245319434,Small,Tier 1,Supermarket Type1,1544.656
FDS47,16.760552218302657,Low Fat,0.12880086931517717,Breads,90.02046892032314,OUT049,1999.1940377658038,Medium,Tier 1,Supermarket Type1,1054.6272
DRF01,5.700400035058242,Low Fat,0.1760922816971458,Soft Drinks,147.5226249624036,OUT018,2009.0368798106613,Medium,Tier 3,Supermarket Type2,1749.7224
FDO22,13.493243411164926,Regular,0.05410107131304945,Snack Foods,78.25801101840419,OUT035,2004.0180766457145,Small,Tier 2,Supermarket Type1,1438.128
FDA38,5.424875521665632,Low Fat,0.02584980968609533,Dairy,240.67961830883368,OUT013,1986.902411904223,High,Tier 3,Supermarket Type1,3124.5994
FDV28,12.794495457833152,Regular,0.1588792016738603,Frozen Foods,35.24134436938025,OUT027,1984.947013145777,Medium,Tier 3,Supermarket Type3,1120.5414
FDH17,16.185547431237577,Regular,0.017131370318770652,Frozen Foods,96.44373973363953,OUT046,1997.1570875959335,Small,Tier 1,Supermarket Type1,2055.3246
FDE41,12.861444742189535,Regular,0.05327114393728283,Frozen Foods,83.59522426227242,OUT019,1985.1818732276097,Small,Tier 1,Grocery Store,253.6698
FDY45,12.851065385205384,Low Fat,0.025932957548023286,Snack Foods,256.27783752704624,OUT027,1985.040559886483,Medium,Tier 3,Supermarket Type3,2543.356
NCO41,12.477204319039295,Low Fat,0.017522275911390724,Health and Hygiene,97.1849054518332,OUT046,1996.9210121392448,Small,Tier 1,Supermarket Type1,2167.8448
DRF25,8.999322397191312,Low Fat,0.039492429929723544,Soft Drinks,37.21042323808088,OUT045,2001.941073434901,Medium,Tier 2,Supermarket Type1,659.142
FDW55,12.591366060191854,Regular,0.05363695215672357,Fruits and Vegetables,249.37305773773633,OUT035,2003.9960832404033,Small,Tier 2,Supermarket Type1,6723.2484
FDG41,8.847266954825272,Regular,0.07733222266208759,Frozen Foods,111.57472643597602,OUT049,1999.1695742773124,Medium,Tier 1,Supermarket Type1,1657.842
NCL17,7.415783898699042,Low Fat,0.06833953530368854,Health and Hygiene,140.18544346899492,OUT035,2003.8793485437984,Small,Tier 2,Supermarket Type1,3704.5112
FDB45,20.745496330207114,Low Fat,0.021033766646959263,Fruits and Vegetables,104.67972969387509,OUT013,1986.9647088193344,High,Tier 3,Supermarket Type1,2299.6732
NCQ38,16.328927573191102,Low Fat,0.013228332712541787,Others,104.66154877269163,OUT017,2006.928936517259,Medium,Tier 2,Supermarket Type1,1065.28
NCM29,11.505259386226175,Low Fat,0.017640780403307105,Health and Hygiene,133.4899381911285,OUT018,2008.8931299728765,Medium,Tier 3,Supermarket Type2,1442.7886
FDY32,7.570666071873737,Low Fat,0.1289104513852316,Fruits and Vegetables,163.9131615740507,OUT045,2001.9592709223057,Medium,Tier 2,Supermarket Type1,3914.904
NCX30,16.646510437894417,Low Fat,0.026887304441546554,Household,248.95008245609745,OUT046,1996.9953186802854,Small,Tier 1,Supermarket Type1,4210.5192
FDY33,14.479812036200473,Regular,0.09802372608437869,Snack Foods,159.27850491753324,OUT017,2006.9191123076705,Medium,Tier 2,Supermarket Type1,5728.5432
FDZ19,12.879470065449004,Low Fat,0.09293936589245201,Fruits and Vegetables,177.59870107511603,OUT027,1984.9879687616958,Medium,Tier 3,Supermarket Type3,4921.5936
FDU34,18.300998234845526,Low Fat,0.07463893651208997,Snack Foods,126.49751959152626,OUT035,2003.997665595065,Small,Tier 2,Supermarket Type1,1618.5598
FDX50,12.806255021939032,Low Fat,0.07385032601973306,Dairy,109.90690503138194,OUT027,1984.889567434885,Medium,Tier 3,Supermarket Type3,3757.7752
FDD41,6.730864269902569,Regular,0.08693827660779353,Frozen Foods,104.958697687722,OUT049,1998.9813438616588,Medium,Tier 1,Supermarket Type1,836.2448
NCN53,5.185654013751733,Low Fat,0.051226395029234255,Health and Hygiene,33.95868485998064,OUT010,1998.0897613824338,Medium,Tier 3,Grocery Store,70.5748
FDV21,11.513243634989799,Low Fat,0.28652020805498246,Snack Foods,124.03150328180944,OUT010,1997.9567526772564,Medium,Tier 3,Grocery Store,375.5112
NCQ02,12.557568567855038,Low Fat,0.007358774553861046,Household,186.8405373115141,OUT035,2004.0160771499027,Small,Tier 2,Supermarket Type1,3942.8676
NCC07,19.587489824980164,Low Fat,0.024660971534829997,Household,104.79474430984617,OUT045,2001.9664507225643,Medium,Tier 2,Supermarket Type1,525.982
FDR31,12.854903533662924,Regular,0.048751558749435916,Fruits and Vegetables,147.21859015199416,OUT027,1984.9672828087866,Medium,Tier 3,Supermarket Type3,3207.8244
FDI05,8.323248309412131,Regular,0.12773517027669248,Frozen Foods,76.80792995953367,OUT017,2007.0407247762346,Medium,Tier 2,Supermarket Type1,1805.6496
FDJ03,12.435006170956155,Regular,0.12021591283594743,Dairy,48.53712474730533,OUT010,1997.9604277061162,Medium,Tier 3,Grocery Store,49.2692
FDB58,10.568359800167826,Regular,0.013686006075417772,Snack Foods,143.3472575671941,OUT017,2006.9684017454895,Medium,Tier 2,Supermarket Type1,1559.9694
NCX29,12.91107197068543,Low Fat,0.1558665325417019,Health and Hygiene,143.93207315469868,OUT019,1984.9822162228875,Small,Tier 1,Grocery Store,145.8102
FDI24,10.248748225632609,Low Fat,0.07943161264203645,Baking Goods,177.04247926338488,OUT045,2002.0171541242296,Medium,Tier 2,Supermarket Type1,4234.488
FDB15,10.943726928344164,Low Fat,0.2290973926367524,Dairy,263.1063108820893,OUT010,1998.1747044467654,Medium,Tier 3,Grocery Store,527.3136
FDL08,10.840441042869116,Low Fat,0.050168512445748326,Fruits and Vegetables,246.1402142015942,OUT035,2004.0038034774745,Small,Tier 2,Supermarket Type1,2450.144
FDY33,14.435930795496873,Regular,0.053733015528810324,Snack Foods,158.63223625218683,OUT035,2004.072639550232,Small,Tier 2,Supermarket Type1,2864.2716
FDS47,16.68246694679209,Low Fat,0.12942455137512465,Breads,87.70719600349807,OUT035,2003.885642124954,Small,Tier 2,Supermarket Type1,1406.1696
FDG52,13.678972531327704,Low Fat,0.06595949640375295,Frozen Foods,46.265596578232326,OUT049,1998.9987680983518,Medium,Tier 1,Supermarket Type1,780.9834
FDB35,12.341498810574336,Regular,0.06480823248087919,Starchy Foods,92.74599150979613,OUT018,2009.071903211265,Medium,Tier 3,Supermarket Type2,1470.0864
FDK09,12.832473304288124,Low Fat,0.09147142978308834,Snack Foods,229.67344490198582,OUT027,1984.9968954347632,Medium,Tier 3,Supermarket Type3,8474.3024
FDQ36,7.860197666231183,Regular,0.16146418588080635,Baking Goods,36.83760973723749,OUT018,2008.8868504502984,Medium,Tier 3,Supermarket Type2,1155.8288
FDM12,16.669173549480565,Regular,0.06925956325506193,Baking Goods,189.62393759560243,OUT017,2006.8935234524868,Medium,Tier 2,Supermarket Type1,2826.321
NCA41,16.7497536737547,Low Fat,0.03319031011223399,Health and Hygiene,190.981750948185,OUT035,2003.8388598732847,Small,Tier 2,Supermarket Type1,3848.324
FDT13,14.825558933913102,Low Fat,0.053846580328956395,Canned,187.7122200362722,OUT010,1997.9904929047498,Medium,Tier 3,Grocery Store,188.4214
FDA51,8.020233298733457,Regular,0.16391716966138922,Dairy,113.01272315357109,OUT013,1987.0020578722379,High,Tier 3,Supermarket Type1,1707.777
NCD18,15.946193729964648,Low Fat,0.07327466137727034,Household,227.66342797464816,OUT013,1986.942873328076,High,Tier 3,Supermarket Type1,5298.4364
FDD09,12.816829610836626,Low Fat,0.02150636577886231,Fruits and Vegetables,182.39530263119335,OUT027,1984.9570598438204,Medium,Tier 3,Supermarket Type3,6157.3184
FDQ25,8.667350455340062,Regular,0.02943745346964828,Canned,173.6572785258445,OUT018,2009.0109821945885,Medium,Tier 3,Supermarket Type2,4138.6128
FDG10,12.86679325353493,Regular,0.019059554702462116,Snack Foods,57.85198118264846,OUT019,1984.940865467881,Small,Tier 1,Grocery Store,400.8116
FDS11,7.120300073430791,Regular,0.05498781380394875,Breads,224.9407285906539,OUT046,1997.0938131221371,Small,Tier 1,Supermarket Type1,3131.9232
FDV26,20.300896487871295,Regular,0.053168564907480835,Dairy,193.70823196894568,OUT049,1998.907051501532,Medium,Tier 1,Supermarket Type1,4291.7468
NCI06,11.262230146165177,Low Fat,0.04765009098431567,Household,179.84765418747443,OUT018,2008.9644034491462,Medium,Tier 3,Supermarket Type2,1258.362
NCF55,6.609528662641577,Low Fat,0.02160832819874444,Household,36.38639283154814,OUT045,2001.995202353489,Medium,Tier 2,Supermarket Type1,247.0118
FDU03,18.68852819797409,Regular,0.09165170469437235,Meat,184.5434827763624,OUT018,2009.089312308295,Medium,Tier 3,Supermarket Type2,1277.0044
FDO22,13.414168478531671,Regular,0.018195457796147056,Snack Foods,79.15615400851995,OUT045,2001.9714998506681,Medium,Tier 2,Supermarket Type1,1597.92
FDB40,17.495270772687277,Regular,0.00824742857079444,Dairy,144.14956360306954,OUT018,2008.8298444783923,Medium,Tier 3,Supermarket Type2,2187.153
FDA34,11.484114368469271,Low Fat,0.015152483320359966,Starchy Foods,172.65938956240402,OUT017,2006.8797775480566,Medium,Tier 2,Supermarket Type1,5712.564
FDD21,10.3953562873236,Regular,0.030386864651651507,Fruits and Vegetables,113.74816782412147,OUT046,1997.158438103329,Small,Tier 1,Supermarket Type1,4695.2216
FDZ32,12.833202064066338,Regular,0.0659698534945832,Fruits and Vegetables,106.55306344805966,OUT019,1984.9536491109716,Small,Tier 1,Grocery Store,420.7856
FDJ10,5.091620529940865,Regular,0.13030029272635804,Snack Foods,140.81654246907038,OUT035,2003.9231926327207,Small,Tier 2,Supermarket Type1,1264.3542
FDF57,12.887297881829404,Regular,0.058640298433883374,Fruits and Vegetables,169.30285776773238,OUT027,1985.0694373467136,Medium,Tier 3,Supermarket Type3,3408.896
FDS16,15.101974198437777,Regular,0.06618397894955955,Frozen Foods,147.6011076858373,OUT035,2004.026862432398,Small,Tier 2,Supermarket Type1,2197.14
FDJ58,12.87421195778417,Regular,0.18464400001562511,Snack Foods,172.21682961231366,OUT019,1984.9437073515473,Small,Tier 1,Grocery Store,858.882
FDT40,5.967559157656582,Low Fat,0.09660232882053492,Frozen Foods,125.98764273247748,OUT013,1986.9447315903958,High,Tier 3,Supermarket Type1,3560.6984
FDI50,8.470447870345826,Regular,0.03031595992977185,Canned,230.87962266324436,OUT013,1987.0154190809076,High,Tier 3,Supermarket Type1,3435.528
FDW50,13.092309705497247,Low Fat,0.07684516932011373,Dairy,165.8310511383031,OUT017,2007.0258062165392,Medium,Tier 2,Supermarket Type1,1169.8106
NCN07,18.546529662990867,Low Fat,0.033788441834366016,Others,134.14423914855195,OUT045,2002.0345465205899,Medium,Tier 2,Supermarket Type1,2768.3964
FDX12,18.152741649164692,Regular,0.044278697576315355,Baking Goods,241.58096075011463,OUT010,1998.0543125829552,Medium,Tier 3,Grocery Store,482.0392
FDV32,7.800839390717599,Low Fat,0.08861130734500719,Fruits and Vegetables,64.8619292746677,OUT045,2002.0386679988426,Medium,Tier 2,Supermarket Type1,1201.769
NCI06,11.256436871940485,Low Fat,0.04728759082325985,Household,181.19938992822736,OUT013,1987.0465449171163,High,Tier 3,Supermarket Type1,3775.086
FDS33,6.616287250397465,Regular,0.12442273191658809,Snack Foods,88.89488798554677,OUT045,2002.0000086105642,Medium,Tier 2,Supermarket Type1,885.514
NCM53,18.70904139532908,Low Fat,0.052385137037194364,Health and Hygiene,105.90928704793033,OUT018,2009.1710265193847,Medium,Tier 3,Supermarket Type2,1704.448
FDN56,5.511060408699781,Regular,0.10740791720163154,Fruits and Vegetables,146.07304954542462,OUT045,2001.9619433242228,Medium,Tier 2,Supermarket Type1,3900.9222
FDB59,18.19394357889095,Low Fat,0.016095227994828154,Snack Foods,199.8773857148803,OUT018,2008.9636455585692,Medium,Tier 3,Supermarket Type2,1984.084
FDG38,9.006562647684602,Regular,0.05314375805641551,Canned,82.76905833270325,OUT013,1986.9987804520165,High,Tier 3,Supermarket Type1,3579.3408
FDZ43,12.873187327869939,Regular,0.05674956625640441,Fruits and Vegetables,241.45125011426336,OUT027,1984.8356864544808,Medium,Tier 3,Supermarket Type3,8239.9408
NCA29,10.489577007536639,Low Fat,0.027736488861461656,Household,171.71877658470697,OUT046,1997.0405734056774,Small,Tier 1,Supermarket Type1,3593.3226
FDZ49,10.981458780342516,Regular,0.1328485193578616,Canned,221.56350730759044,OUT035,2004.0990670545327,Small,Tier 2,Supermarket Type1,4187.2162
FDR33,7.287272443652954,Low Fat,0.026799942369338577,Snack Foods,108.6638908214134,OUT017,2007.056690455715,Medium,Tier 2,Supermarket Type1,2306.997
NCW53,18.28080716219163,Low Fat,0.0302166902236564,Health and Hygiene,190.6671829925009,OUT013,1987.1441011935772,High,Tier 3,Supermarket Type1,1346.9134
FDO45,13.045584900200856,Regular,0.03819673050452167,Snack Foods,89.82352985945134,OUT049,1999.0149826987922,Medium,Tier 1,Supermarket Type1,703.0848
FDU60,19.940742166484707,Regular,0.059868533530385584,Baking Goods,169.3625806791931,OUT035,2004.1097381768031,Small,Tier 2,Supermarket Type1,2874.9244
FDP60,17.29818597699331,Low Fat,0.05349180688645168,Baking Goods,103.58274861456351,OUT046,1996.9619344387074,Small,Tier 1,Supermarket Type1,1922.8304
FDY24,4.830920948223213,Regular,0.22315647716538298,Baking Goods,51.10037607736932,OUT010,1997.9230952330622,Medium,Tier 3,Grocery Store,161.7894
FDN12,15.579786214134876,Low Fat,0.08131576240574033,Baking Goods,112.20214195173348,OUT046,1996.8086875453796,Small,Tier 1,Supermarket Type1,1006.6896
FDZ22,12.861741858419148,Low Fat,0.07876333734594286,Snack Foods,82.58749799846993,OUT019,1984.9795750559329,Small,Tier 1,Grocery Store,83.225
FDY48,13.984520779487807,Low Fat,0.024014608172593002,Baking Goods,103.90496503985348,OUT013,1986.9222042109902,High,Tier 3,Supermarket Type1,1743.0644
FDD21,10.303557839382615,Regular,0.054510406718603084,Fruits and Vegetables,113.70687048879927,OUT013,1986.977179480195,High,Tier 3,Supermarket Type1,4122.6336
NCI31,20.01441465702925,Low Fat,0.08141882498349086,Others,37.92290739895461,OUT035,2003.9209573188232,Small,Tier 2,Supermarket Type1,439.428
NCZ06,12.88571685839779,Low Fat,0.16517745755575433,Household,256.19229572255864,OUT019,1985.0088145616985,Small,Tier 1,Grocery Store,761.0094
NCV54,11.163060278771217,Low Fat,0.03375828084522783,Household,121.16600723778612,OUT045,2001.9814550259787,Medium,Tier 2,Supermarket Type1,1896.1984
FDU13,12.881329466572671,Low Fat,0.32879475699309524,Canned,145.11388672483196,OUT019,1984.8115179723086,Small,Tier 1,Grocery Store,588.5672
FDO10,12.84226925942252,Regular,0.012734971102034257,Snack Foods,57.01641320110686,OUT027,1985.0974919933085,Medium,Tier 3,Supermarket Type3,973.3996
FDY46,18.645664622461343,Low Fat,0.048073333675846784,Snack Foods,188.62517579671353,OUT017,2006.9778325948566,Medium,Tier 2,Supermarket Type1,3554.7062
FDW50,13.076998860645332,Low Fat,0.07600047940217614,Dairy,167.1661588233432,OUT017,2007.0577465535755,Medium,Tier 2,Supermarket Type1,1169.8106
FDC48,12.891047378744824,Low Fat,0.028262108595398336,Baking Goods,82.42622210488008,OUT019,1984.9883710777908,Small,Tier 1,Grocery Store,412.796
FDQ47,7.150805217430172,Regular,0.16773614970054398,Breads,34.70829206861103,OUT018,2009.0209997892077,Medium,Tier 3,Supermarket Type2,670.4606
FDS04,10.181390699854571,Regular,0.14668999274100078,Frozen Foods,142.07608425884973,OUT013,1986.9777402737436,High,Tier 3,Supermarket Type1,1685.8056
FDL03,19.223028658203784,Regular,0.0267639491610853,Meat,199.09611261609112,OUT017,2007.0704648932333,Medium,Tier 2,Supermarket Type1,982.055
NCA05,20.746518141628865,Low Fat,0.02437549315230956,Health and Hygiene,150.16234204465437,OUT046,1996.9173080457822,Small,Tier 1,Supermarket Type1,2524.0478
FDR55,12.162256243445968,Regular,0.13216125109205312,Fruits and Vegetables,189.94847704110313,OUT018,2009.1571174262954,Medium,Tier 3,Supermarket Type2,3781.744
NCS53,14.448732819249944,Low Fat,0.08956299849152186,Health and Hygiene,160.02398344503925,OUT045,2001.9350039608123,Medium,Tier 2,Supermarket Type1,1426.1436
NCJ43,6.637628063459581,Low Fat,0.0453529074046122,Household,173.939162867436,OUT010,1997.8565023615818,Medium,Tier 3,Grocery Store,348.8792
FDN57,18.279218986035985,Low Fat,0.05388713009463645,Snack Foods,139.59816652161817,OUT045,2001.9236448558502,Medium,Tier 2,Supermarket Type1,1701.7848
DRJ24,11.833687809318196,Low Fat,0.1135371440579932,Soft Drinks,187.14407452058694,OUT035,2003.935086217082,Small,Tier 2,Supermarket Type1,1850.924
FDP46,12.892416897068756,Low Fat,0.1309893856505345,Snack Foods,88.3093331004001,OUT019,1984.9630383025394,Small,Tier 1,Grocery Store,89.883
FDU01,12.798562955067933,Regular,0.020357148226341725,Canned,185.44653225734112,OUT019,1985.1723752527098,Small,Tier 1,Grocery Store,555.2772
FDB57,20.246830629203625,Regular,0.01882059950190964,Fruits and Vegetables,220.61705442655006,OUT017,2007.0673326618157,Medium,Tier 2,Supermarket Type1,2446.1492
